id,char_a,char_b,radical_a,radical_b,same_radical,freq_a,freq_b,first_token_a,first_token_b,same_token,pred_yes,gold_yes,correct
sim:45,炉,炮,火,火,1,2500,1800,163,163,1,0,1,0
sim:46,岗,峭,山,山,1,2700,4800,58699,161,0,0,1,0
sim:47,体,春,人,日,0,400,800,33014,11881,0,0,0,1
sim:48,炼,想,火,心,0,2200,300,163,33565,0,0,0,1
sim:49,岩,炒,山,火,0,1900,1900,58699,163,0,0,0,1
sim:50,河,做,氵,人,0,800,200,31106,49691,0,0,0,1
sim:51,注,泪,氵,氵,1,400,2200,26130,14888,0,1,1,1
sim:52,岸,峡,山,山,1,1300,2900,58699,161,0,0,1,0
sim:53,山,体,山,人,0,200,400,58911,33014,0,0,0,1
sim:54,岸,喝,山,口,0,1300,900,58699,83601,0,0,0,1
sim:55,峡,唱,山,口,0,2900,1200,161,84150,0,0,0,1
sim:56,咬,位,口,人,0,2400,250,161,25129,0,0,0,1
sim:57,早,星,日,日,1,400,1000,6079,78519,0,0,1,0
sim:58,怀,忙,心,心,1,1800,1100,17486,26203,0,0,1,0
sim:59,信,代,人,人,1,350,550,22023,31640,0,0,1,0
sim:60,怀,忘,心,心,1,1800,1500,17486,26203,0,0,1,0
sim:61,峭,姐,山,女,0,4800,1300,161,21589,0,0,0,1
sim:62,浪,件,氵,人,0,1600,500,27699,14558,0,0,0,1
sim:63,江,柳,氵,木,0,600,2500,70277,162,0,0,0,1
sim:64,件,休,人,人,1,500,1100,14558,17885,0,0,1,0
sim:65,岩,岳,山,山,1,1900,3100,58699,58699,1,1,1,1
sim:66,炮,思,火,心,0,1800,500,163,91763,0,0,0,1
sim:67,心,代,心,人,0,150,550,64209,31640,0,0,0,1
sim:68,河,油,氵,氵,1,800,500,31106,31106,1,0,1,0
sim:69,桥,炉,木,火,0,1500,2500,44559,163,0,0,0,1
sim:70,做,份,人,人,1,200,1000,49691,70542,0,0,1,0
sim:71,岩,星,山,日,0,1900,1000,58699,78519,0,0,0,1
sim:72,江,注,氵,氵,1,600,400,70277,26130,0,0,1,0
sim:73,炉,晨,火,日,0,2500,2300,163,162,0,0,0,1
sim:74,休,作,人,人,1,1100,150,17885,19967,0,0,1,0
sim:75,喝,哭,口,口,1,900,1400,83601,20648,0,0,1,0
sim:76,喝,吸,口,口,1,900,1700,83601,7305,0,0,1,0
sim:77,愁,嘴,心,口,0,2400,1300,31374,161,0,0,0,1
sim:78,泉,烤,氵,火,0,2800,2400,14888,163,0,0,0,1
sim:79,听,他,口,人,0,500,90,50287,43511,0,0,0,1
sim:80,口,喝,口,口,1,300,900,40526,83601,0,1,1,1
sim:81,妈,春,女,日,0,800,800,161,11881,0,0,0,1
sim:82,桌,姐,木,女,0,1700,1300,44559,21589,0,0,0,1
sim:83,炮,休,火,人,0,1800,1100,163,17885,0,0,0,1
sim:84,忘,恭,心,心,1,1500,3200,26203,21555,0,0,1,0
sim:85,愁,妻,心,女,0,2400,1500,31374,161,0,0,0,1
sim:86,愁,婚,心,女,0,2400,1700,31374,161,0,0,0,1
sim:87,明,晚,日,日,1,300,900,31958,45114,0,0,1,0
sim:88,山,心,山,心,0,200,150,58911,64209,0,0,0,1
sim:89,呼,吸,口,口,1,1500,1700,17857,7305,0,0,1,0
sim:90,吻,春,口,日,0,2900,800,7305,11881,0,0,0,1
sim:91,河,忘,氵,心,0,800,1500,31106,26203,0,0,0,1
sim:92,人,晨,人,日,0,50,2300,17792,162,0,0,0,1
sim:93,岸,婚,山,女,0,1300,1700,58699,161,0,0,0,1
sim:94,池,炒,氵,火,0,1700,1900,21980,163,0,0,0,1
sim:95,急,份,心,人,0,900,1000,17486,70542,0,0,0,1
sim:96,烟,日,火,日,0,1200,100,163,9080,0,0,0,1
sim:97,江,浪,氵,氵,1,600,1600,70277,27699,0,0,1,0
sim:98,河,池,氵,氵,1,800,1700,31106,21980,0,1,1,1
sim:99,岭,岳,山,山,1,2000,3100,58699,58699,1,1,1,1
sim:100,思,怒,心,心,1,500,2100,91763,17486,0,0,1,0
sim:101,油,注,氵,氵,1,500,400,31106,26130,0,0,1,0
sim:102,心,恭,心,心,1,150,3200,64209,21555,0,0,1,0
sim:103,嘴,吸,口,口,1,1300,1700,161,7305,0,0,1,0
sim:104,思,恭,心,心,1,500,3200,91763,21555,0,0,1,0
sim:105,日,明,日,日,1,100,300,9080,31958,0,1,1,1
sim:106,松,咬,木,口,0,1400,2400,14276,161,0,0,0,1
sim:107,吃,哭,口,口,1,700,1400,7305,20648,0,0,1,0
sim:108,浪,泽,氵,氵,1,1600,2400,27699,14888,0,0,1,0
sim:109,浦,灯,氵,火,0,4500,1100,27699,66285,0,0,0,1
sim:110,渡,呼,氵,口,0,3200,1500,35086,17857,0,0,0,1
sim:111,森,桶,木,木,1,1800,3000,77062,44559,0,0,1,0
sim:112,人,他,人,人,1,50,90,17792,43511,0,1,1,1
sim:113,唱,嘴,口,口,1,1200,1300,84150,161,0,0,1,0
sim:114,检,柜,木,木,1,800,2700,98657,76475,0,0,1,0
sim:115,日,晴,日,日,1,100,2200,9080,45114,0,1,1,1
sim:116,吃,妹,口,女,0,700,1400,7305,161,0,0,0,1
sim:117,信,春,人,日,0,350,800,22023,11881,0,0,0,1
sim:118,嘴,吐,口,口,1,1300,1900,161,7305,0,0,1,0
sim:119,柜,春,木,日,0,2700,800,76475,11881,0,0,0,1
sim:120,吃,体,口,人,0,700,400,7305,33014,0,0,0,1
sim:121,森,妹,木,女,0,1800,1400,77062,161,0,0,0,1
sim:122,灯,烧,火,火,1,1100,1300,66285,163,0,0,1,0
sim:123,你,明,人,日,0,80,300,57668,31958,0,0,0,1
sim:124,池,注,氵,氵,1,1700,400,21980,26130,0,1,1,1
sim:125,池,流,氵,氵,1,1700,250,21980,89753,0,0,1,0
sim:126,炉,住,火,人,0,2500,300,163,8687,0,0,0,1
sim:127,叫,唱,口,口,1,800,1200,5877,84150,0,1,1,1
sim:128,急,妻,心,女,0,900,1500,17486,161,0,0,0,1
sim:129,体,作,人,人,1,400,150,33014,19967,0,0,1,0
sim:130,体,代,人,人,1,400,550,33014,31640,0,0,1,0
sim:131,板,桶,木,木,1,1100,3000,88631,44559,0,0,1,0
sim:132,咬,女,口,女,0,2400,400,161,58850,0,0,0,1
sim:133,泉,浪,氵,氵,1,2800,1600,14888,27699,0,0,1,0
sim:134,炉,烧,火,火,1,2500,1300,163,163,1,0,1,0
sim:135,油,信,氵,人,0,500,350,31106,22023,0,0,0,1
sim:136,流,忠,氵,心,0,250,2500,89753,26203,0,0,0,1
sim:137,住,做,人,人,1,300,200,8687,49691,0,0,1,0
sim:138,池,叫,氵,口,0,1700,800,21980,5877,0,0,0,1
sim:139,炒,焦,火,火,1,1900,2100,163,32016,0,0,1,0
sim:140,峭,作,山,人,0,4800,150,161,19967,0,0,0,1
sim:141,烟,叫,火,口,0,1200,800,163,5877,0,0,0,1
sim:142,急,晚,心,日,0,900,900,17486,45114,0,0,0,1
sim:143,吻,婚,口,女,0,2900,1700,7305,161,0,0,0,1
sim:144,女,姐,女,女,1,400,1300,58850,21589,0,1,1,1
sim:145,位,代,人,人,1,250,550,25129,31640,0,1,1,1
sim:146,体,位,人,人,1,400,250,33014,25129,0,0,1,0
sim:147,忠,恭,心,心,1,2500,3200,26203,21555,0,0,1,0
sim:148,时,晕,日,日,1,150,3500,13646,45114,0,0,1,0
sim:149,烤,忘,火,心,0,2400,1500,163,26203,0,0,0,1
sim:150,炉,婆,火,女,0,2500,2100,163,161,0,0,0,1
sim:151,池,明,氵,日,0,1700,300,21980,31958,0,0,0,1
sim:152,好,姐,女,女,1,100,1300,53901,21589,0,0,1,0
sim:153,烟,忠,火,心,0,1200,2500,163,26203,0,0,0,1
sim:154,池,忠,氵,心,0,1700,2500,21980,26203,0,0,0,1
sim:155,妈,晴,女,日,0,800,2200,161,45114,0,0,0,1
sim:156,火,吃,火,口,0,400,700,80699,7305,0,0,0,1
sim:157,姓,婚,女,女,1,1100,1700,21589,161,0,0,1,0
sim:158,流,婆,氵,女,0,250,2100,89753,161,0,0,0,1
sim:159,森,火,木,火,0,1800,400,77062,80699,0,0,0,1
sim:160,人,任,人,人,1,50,450,17792,49988,0,0,1,0
sim:161,江,泪,氵,氵,1,600,2200,70277,14888,0,0,1,0
sim:162,湖,急,氵,心,0,1500,900,85300,17486,0,0,0,1
sim:163,炒,晨,火,日,0,1900,2300,163,162,0,0,0,1
sim:164,渡,吻,氵,口,0,3200,2900,35086,7305,0,0,0,1
sim:165,女,日,女,日,0,400,100,58850,9080,0,0,0,1
sim:166,他,作,人,人,1,90,150,43511,19967,0,0,1,0
sim:167,树,桶,木,木,1,700,3000,15308,44559,0,0,1,0
sim:168,灯,炮,火,火,1,1100,1800,66285,163,0,0,1,0
sim:169,检,桶,木,木,1,800,3000,98657,44559,0,0,1,0
sim:170,份,晴,人,日,0,1000,2200,70542,45114,0,0,0,1
sim:171,泉,晕,氵,日,0,2800,3500,14888,45114,0,0,0,1
sim:172,春,晒,日,日,1,800,2700,11881,45114,0,0,1,0
sim:173,油,泪,氵,氵,1,500,2200,31106,14888,0,0,1,0
sim:174,人,做,人,人,1,50,200,17792,49691,0,0,1,0
sim:175,件,代,人,人,1,500,550,14558,31640,0,0,1,0
sim:176,林,叫,木,口,0,900,800,20119,5877,0,0,0,1
sim:177,浪,岳,氵,山,0,1600,3100,27699,58699,0,0,0,1
sim:178,湖,泉,氵,氵,1,1500,2800,85300,14888,0,1,1,1
sim:179,树,婆,木,女,0,700,2100,15308,161,0,0,0,1
sim:180,海,住,氵,人,0,300,300,56235,8687,0,0,0,1
sim:181,吐,咬,口,口,1,1900,2400,7305,161,0,0,1,0
sim:182,喝,呼,口,口,1,900,1500,83601,17857,0,1,1,1
sim:183,他,婚,人,女,0,90,1700,43511,161,0,0,0,1
sim:184,山,喝,山,口,0,200,900,58911,83601,0,0,0,1
sim:185,渡,桥,氵,木,0,3200,1500,35086,44559,0,1,0,0
sim:186,忘,忙,心,心,1,1500,1100,26203,26203,1,0,1,0
sim:187,你,住,人,人,1,80,300,57668,8687,0,0,1,0
sim:188,楼,思,木,心,0,950,500,61964,91763,0,0,0,1
sim:189,炼,吃,火,口,0,2200,700,163,7305,0,0,0,1
sim:190,河,注,氵,氵,1,800,400,31106,26130,0,0,1,0
sim:191,晴,晒,日,日,1,2200,2700,45114,45114,1,1,1,1
sim:192,任,妹,人,女,0,450,1400,49988,161,0,0,0,1
sim:193,女,婚,女,女,1,400,1700,58850,161,0,1,1,1
sim:194,忘,嘴,心,口,0,1500,1300,26203,161,0,0,0,1
sim:195,日,春,日,日,1,100,800,9080,11881,0,0,1,0
sim:196,林,柳,木,木,1,900,2500,20119,162,0,1,1,1
sim:197,体,任,人,人,1,400,450,33014,49988,0,0,1,0
sim:198,急,恭,心,心,1,900,3200,17486,21555,0,0,1,0
sim:199,心,好,心,女,0,150,100,64209,53901,0,0,0,1
